kvalifikaatio	kvalifikaatiossa	N;IN+ESS;SG
kuolinnaamio	kuolinnaamiolla	N;AT+ESS;SG
saali	saalissa	N;IN+ESS;SG
pakenija	pakenijalla	N;AT+ESS;SG
oppositiokansanedustaja	oppositiokansanedustajassa	N;IN+ESS;SG
vigilanssi	vigilanssissa	N;IN+ESS;SG
abbedissa	abbedissalla	N;AT+ESS;SG
merililja	merililjassa	N;IN+ESS;SG
onnentoivottaja	onnentoivottajassa	N;IN+ESS;SG
häkkikanala	häkkikanalalla	N;AT+ESS;SG
muistilehtiö	muistilehtiössä	N;IN+ESS;SG
seurustelu	seurustelulla	N;AT+ESS;SG
kaikkitietävä	kaikkitietävällä	N;AT+ESS;SG
demagogi	demagogissa	N;IN+ESS;SG
överi	överillä	N;AT+ESS;SG
seinus	seinuksessa	N;IN+ESS;SG
divertikuliitti	divertikuliitilla	N;AT+ESS;SG
käsiala	käsialassa	N;IN+ESS;SG
vuokra	vuokralla	N;AT+ESS;SG
fudismatsi	fudismatsilla	N;AT+ESS;SG
militarismi	militarismilla	N;AT+ESS;SG
kulmuri	kulmurissa	N;IN+ESS;SG
foliaatio	foliaatiossa	N;IN+ESS;SG
johtaminen	johtamisella	N;AT+ESS;SG
toiminne	toiminteessa	N;IN+ESS;SG
tiineys	tiineydessä	N;IN+ESS;SG
samoilu	samoilulla	N;AT+ESS;SG
leu	leussa	N;IN+ESS;SG
savutin	savuttimessa	N;IN+ESS;SG
ulkomaanpuhelu	ulkomaanpuhelulla	N;AT+ESS;SG
juottokolvi	juottokolvilla	N;AT+ESS;SG
floppityyli	floppityylissä	N;IN+ESS;SG
ruutukuningas	ruutukuninkaalla	N;AT+ESS;SG
mutsi	mutsilla	N;AT+ESS;SG
sotilasliittoutuma	sotilasliittoutumassa	N;IN+ESS;SG
tietyö	tietyöllä	N;AT+ESS;SG
onnellisuuspilleri	onnellisuuspillerissä	N;IN+ESS;SG
progressio	progressiossa	N;IN+ESS;SG
vena	venalla	N;AT+ESS;SG
bokserimoottori	bokserimoottorissa	N;IN+ESS;SG
diskofiili	diskofiilillä	N;AT+ESS;SG
mietiskelijä	mietiskelijässä	N;IN+ESS;SG
baptisti	baptistilla	N;AT+ESS;SG
onnenpyörä	onnenpyörällä	N;AT+ESS;SG
kutu	kudulla	N;AT+ESS;SG
luisto	luistossa	N;IN+ESS;SG
kiroilija	kiroilijassa	N;IN+ESS;SG
probiootti	probiootilla	N;AT+ESS;SG
äänenvoimakkuus	äänenvoimakkuudella	N;AT+ESS;SG
biljoona	biljoonalla	N;AT+ESS;SG
ilmakehä	ilmakehällä	N;AT+ESS;SG
päätelmä	päätelmässä	N;IN+ESS;SG
unirytmi	unirytmissä	N;IN+ESS;SG
tyristori	tyristorilla	N;AT+ESS;SG
autonkatsastaja	autonkatsastajassa	N;IN+ESS;SG
minäkuva	minäkuvassa	N;IN+ESS;SG
ikääntyminen	ikääntymisessä	N;IN+ESS;SG
aave	aaveella	N;AT+ESS;SG
ruoskija	ruoskijassa	N;IN+ESS;SG
seikkailijatar	seikkailijattarella	N;AT+ESS;SG
oliiviseitikki	oliiviseitikillä	N;AT+ESS;SG
häpykukkula	häpykukkulassa	N;IN+ESS;SG
luulajansaame	luulajansaamessa	N;IN+ESS;SG
seksitauti	seksitaudilla	N;AT+ESS;SG
farmi	farmilla	N;AT+ESS;SG
kiniini	kiniinillä	N;AT+ESS;SG
päätöspuu	päätöspuussa	N;IN+ESS;SG
laktovegetaristi	laktovegetaristilla	N;AT+ESS;SG
maitoallergia	maitoallergialla	N;AT+ESS;SG
